Title,Year,Revenue,Rating,Critics ratings,Season,budget,genres,cast_popularity,critics_missing,log_revenue,log_budget,revenue_class
Nausicaä of the Valley of the Wind 2020 Re-release,2020,6395525,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.671109241371777,0.0,Low
Simply Black,2020,6323750,6.4,55.0,summer,0.0,Comedy,0.5765960111853597,1,15.659823102722289,0.0,Low
My Boyfriend's Meds,2020,6292780,4.6,55.0,winter,0.0,Comedy,0.4295396865135247,1,15.654913661331452,0.0,Low
Bill & Ted Face the Music,2020,6274027,5.9,65.0,summer,25000000.0,"Comedy, Science Fiction, Adventure, Music",0.3765857085944006,0,15.65192913058541,17.034386422832473,Low
Hotel Belgrade,2020,6189882,6.2,55.0,spring,0.0,"Comedy, Romance",0.30347565629517764,1,15.638426743028186,0.0,Low
How to Be a Good Wife,2020,6033430,5.8,55.0,spring,0.0,Comedy,0.32256233254337663,1,15.612826395282227,0.0,Low
The Legacy of Dr. Death: Black File,2020,6024046,6.4,55.0,fall,0.0,Drama,1.920878405435294,1,15.611269850556264,0.0,Low
A Piece of Cake,2020,6008448,6.0,55.0,summer,0.0,Comedy,2.0694444444444446,1,15.6086772033221,0.0,Low
The Rhythm Section,2020,5989583,5.4,45.0,winter,50000000.0,"Action, Thriller",1.0473038373734551,0,15.60553251859813,17.72753358339242,Low
How I Became a Gangster,2020,5975729,6.9,55.0,winter,0.0,"Crime, Action",0.08669392626180941,1,15.60321682405122,0.0,Low
The Innocent,2020,5929392,6.4,55.0,winter,0.0,Comedy,0.6610730373036245,1,15.595432404857778,0.0,Low
Twiceborn,2020,5880157,4.4,55.0,fall,0.0,Drama,0.6964934528349861,1,15.587094190262096,0.0,Low
The Royal Bride,2020,5830719,6.4,55.0,winter,0.0,Comedy,0.7822222222222223,1,15.578651049843652,0.0,Low
Beasts Clawing at Straws,2020,5796059,7.0,55.0,winter,0.0,"Mystery, Thriller, Crime, Drama",1.3916065335269632,1,15.572688934336002,0.0,Low
Last Letter,2020,5663972,6.9,55.0,winter,0.0,"Romance, Drama",1.9102204297316001,1,15.549636147395178,0.0,Low
Yowamushi Pedal: The Movie 2020 Re-release,2020,5624218,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.542592651970532,0.0,Low
Klassikokkutulek 2: Pulmad ja matused,2020,5543147,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.528073128388268,0.0,Low
Mama Weed,2020,5461144,6.3,58.0,summer,5080800.0,"Crime, Drama, Comedy",0.35937828183124293,0,15.513169032695364,15.440979484290281,Low
Divorce Club,2020,5316313,5.4,55.0,summer,9466480.0,Comedy,0.6407078373199918,1,15.486290764038532,16.063267801594936,Low
Cats & Dogs 3: Paws Unite,2020,5300000,6.4,55.0,fall,17000000.0,"Family, Comedy, Action",0.4443556739343733,1,15.483217567201578,16.648723960844016,Low
Cindy La Regia,2020,5222322,6.0,55.0,winter,0.0,"Comedy, Romance",0.4436203720949484,1,15.468452880024252,0.0,Low
Run,2020,5184368,6.7,67.0,fall,0.0,"Thriller, Horror, Drama",0.8827355363528328,0,15.461158695036588,0.0,Low
Love Aaj Kal,2020,5120794,4.7,55.0,winter,0.0,"Romance, Drama",1.2265567642605681,1,15.448820258399518,0.0,Low
Masked Ward,2020,5107013,6.4,55.0,spring,0.0,"Crime, Thriller",1.7955339103252637,1,15.446125446961446,0.0,Low
Ayyappanum Koshiyum,2020,5088713,8.0,55.0,winter,0.0,"Action, Thriller, Crime",0.48308823529411765,1,15.442535704345415,0.0,Low
Baba Parasi,2020,5084342,4.6,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.441676375577478,0.0,Low
Die Känguru-Chroniken,2020,5081127,5.3,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.441043842149918,0.0,Low
The Real Exorcist,2020,5035830,6.4,55.0,spring,0.0,"Fantasy, Horror",0.7356006006006006,1,15.432089115203613,0.0,Low
Mayday,2020,5011408,3.1,55.0,fall,0.0,"Comedy, Romance",0.0744058082138937,1,15.427227671046138,0.0,Low
Bheeshma,2020,4997080,6.6,55.0,winter,0.0,"Romance, Action, Comedy",0.6905978906714201,1,15.424364499920802,0.0,Low
Made in Abyss: Dawn of the Deep Soul,2020,4971635,8.0,55.0,winter,0.0,"Animation, Adventure, Fantasy, Mystery",0.9941954575326665,1,15.419259518956894,0.0,Low
Godai - The Wunderkind,2020,4948225,6.4,55.0,winter,0.0,"History, Drama",1.193548342445371,1,15.414539686471654,0.0,Low
Military Wives,2020,4890505,6.5,55.0,spring,0.0,Drama,0.26772249475315,0,15.40280633258035,0.0,Low
Panga,2020,4886124,6.8,55.0,winter,0.0,Romance,1.0724603174603173,1,15.401910113771798,0.0,Low
The Tales for Old and Young,2020,4853143,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.395137300314746,0.0,Low
Streltsov,2020,4850073,6.4,55.0,fall,0.0,"Drama, History, Romance",0.24917386367825692,1,15.394504520529226,0.0,Low
Persian Lessons,2020,4849240,7.4,53.0,spring,0.0,"War, Drama",0.27946726462653576,0,15.39433275582171,0.0,Low
The SpongeBob Movie: Sponge on the Run,2020,4810790,5.9,65.0,summer,60000000.0,"Family, Comedy, Adventure, Animation",1.8527115018581488,0,15.386372077626127,17.909855136853043,Low
The Empty Man,2020,4796993,6.2,55.0,fall,16000000.0,"Horror, Mystery",0.6679655562775173,1,15.38350002970168,16.588099342704055,Low
The Vets,2020,4788826,6.4,55.0,fall,0.0,"Comedy, Drama",0.34791700235527184,1,15.381796054220374,0.0,Low
The Broken Hearts Gallery,2020,4781389,6.4,57.0,fall,0.0,"Comedy, Romance",0.41374953728839736,0,15.380241857174052,0.0,Low
Gladiator 20th Anniversary,2020,4780585,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.38007369109585,0.0,Low
Intruder,2020,4751103,6.1,55.0,spring,0.0,Comedy,0.6610730373036245,1,15.373887570057867,0.0,Low
Paw Patrol: Jet to the Rescue,2020,4693664,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.36172428514286,0.0,Low
Granny Nanny,2020,4654655,6.5,55.0,winter,0.0,"Comedy, Drama, Family",0.3350937315532129,1,15.353378566929338,0.0,Low
Avengers: Endgame,2019,2799439100,8.4,78.0,spring,356000000.0,"Adventure, Science Fiction, Action",1.6506627505017417,0,21.752684912989196,19.690441291625294,High
The Lion King,2019,1656943394,6.8,55.0,summer,260000000.0,"Adventure, Drama, Family, Animation",1.8700676264676948,0,21.22824041367275,19.376192192825954,High
Frozen II,2019,1450026933,6.8,64.0,fall,150000000.0,"Family, Animation, Adventure, Comedy, Fantasy",1.3845924853082943,0,21.09484796837879,18.826145858727198,High
Spider-Man: Far from Home,2019,1131927996,7.3,69.0,summer,82500000.0,Comedy,0.7982584496190753,0,20.84718820781394,18.228308863426122,High
Captain Marvel,2019,1128274794,6.7,64.0,spring,152000000.0,"Action, Adventure, Science Fiction",1.4124562638616862,0,20.843955572942203,18.839391085389497,High
Joker,2019,1078751311,8.3,59.0,fall,55000000.0,"Crime, Thriller, Drama",0.5609096195656584,0,20.799070016583652,17.822843761378564,High
Star Wars: Episode IX - The Rise of Skywalker,2019,1074144248,6.3,53.0,winter,82500000.0,Comedy,0.7982584496190753,0,20.794790134070162,18.228308863426122,High
Toy Story 4,2019,1073394593,7.6,84.0,summer,175000000.0,"Family, Comedy, Animation, Adventure",2.00202630324583,0,20.794091981361174,18.980296537602072,High
Aladdin,2019,1050693953,6.9,53.0,spring,183000000.0,"Adventure, Fantasy, Romance, Family",1.008954297388704,0,20.772716691383383,19.024996716270177,High
Jumanji: The Next Level,2019,801693929,6.6,58.0,winter,125000000.0,"Adventure, Comedy, Fantasy",1.2298383207247792,0,20.502237459573763,18.643824303266577,High
Fast & Furious Presents: Hobbs & Shaw,2019,760732926,6.4,60.0,summer,200000000.0,"Action, Adventure, Comedy",0.6573964714552084,0,20.44979290416287,19.11382792951231,High
Ne Zha,2019,725920658,7.3,56.0,summer,22000000.0,"Animation, Fantasy, Adventure",0.7734067157140162,0,20.40295128169305,16.906553056777135,High
The Wandering Earth,2019,699856699,5.9,57.0,winter,48000000.0,"Science Fiction, Action, Drama",1.0610062644197318,0,20.366386157765135,17.6867115897055,High
How to Train Your Dragon: The Hidden World,2019,521799505,7.4,71.0,winter,129000000.0,"Animation, Family, Adventure",2.2842272921636906,0,20.072793983943573,18.675322970077882,High
Maleficent: Mistress of Evil,2019,491730089,6.6,43.0,fall,185000000.0,"Family, Fantasy, Adventure",0.44777246282040073,0,20.013440526360906,19.035866388448003,High
It: Chapter Two,2019,473093228,6.5,58.0,fall,82500000.0,Comedy,0.7982584496190753,0,19.974803028514177,18.228308863426122,High
"My People, My Country",2019,450064993,6.3,58.0,fall,0.0,"Drama, History",1.7109832119085433,1,19.924902561410583,0.0,High
Pokémon: Detective Pikachu,2019,433305346,6.5,53.0,spring,82500000.0,Comedy,0.7982584496190753,0,19.88695322681401,18.228308863426122,High
The Secret Life of Pets 2,2019,431164459,6.4,55.0,summer,80000000.0,"Family, Comedy, Adventure, Animation",1.6627336467534666,0,19.882000153011973,18.197537205138154,High
The Captain,2019,417863545,6.3,58.0,fall,0.0,Adventure,1.7131951150367937,1,19.850665492218194,0.0,High
Alita: Battle Angel,2019,404980543,7.3,53.0,winter,170000000.0,"Action, Science Fiction, Adventure",0.7503503916511338,0,19.819349584410705,18.951309000896888,High
Godzilla: King of the Monsters,2019,387300138,6.0,48.0,spring,170000000.0,"Science Fiction, Action",0.5869241501577296,0,19.77471050337983,18.951309000896888,High
1917,2019,384580017,8.2,78.0,winter,82500000.0,Comedy,0.7982584496190753,0,19.76766243449102,18.228308863426122,High
Once Upon a Time... in Hollywood,2019,377426903,7.6,84.0,summer,95000000.0,"Comedy, Drama, Thriller",0.676816688517529,0,19.74888747611622,18.36938746009113,High
Shazam!,2019,365971656,7.0,71.0,spring,80000000.0,"Action, Comedy, Fantasy",0.5186263390764607,0,19.718066448476307,18.197537205138154,High
Dumbo,2019,353284621,6.2,51.0,spring,170000000.0,"Family, Fantasy, Adventure",0.26662924804740923,0,19.682784584634252,18.951309000896888,High
John Wick: Chapter 3 - Parabellum,2019,327777335,7.4,73.0,spring,55000000.0,"Action, Thriller, Crime",0.9625639413391309,0,19.607845082164403,17.822843761378564,High
Crazy Alien,2019,327598891,6.7,58.0,winter,0.0,"Comedy, Science Fiction",1.9581541745348656,1,19.607300527764085,0.0,High
Knives Out,2019,312897920,7.9,82.0,fall,40000000.0,"Comedy, Crime, Mystery",1.1678129092303613,0,19.561387564321734,17.50439003707821,High
Terminator: Dark Fate,2019,261119292,6.2,54.0,fall,185000000.0,"Science Fiction, Action, Adventure, Thriller",0.27294726148700194,0,19.38048792216895,19.035866388448003,High
Parasite,2019,258380968,8.5,97.0,fall,11363000.0,"Comedy, Thriller, Drama",0.5364315444651884,0,19.36994567777967,16.24587310890507,High
Us,2019,256022707,6.8,81.0,spring,20000000.0,"Horror, Mystery",0.6076503995641153,0,19.360776701634947,16.811242881518265,High
Pegasus,2019,255863112,6.3,58.0,winter,40000000.0,"Comedy, Action",1.2950075771490217,1,19.360153144589123,17.50439003707821,High
Men in Black: International,2019,253890701,5.6,38.0,summer,110000000.0,"Comedy, Science Fiction, Action, Adventure",0.7879902894501095,0,19.352414425287535,18.5159909328476,High
X-Men: Dark Phoenix,2019,252442974,5.7,43.0,summer,82500000.0,Comedy,0.7982584496190753,0,19.34669593958948,18.228308863426122,High
Glass,2019,246999039,6.6,43.0,winter,20000000.0,"Thriller, Drama, Science Fiction",0.8532298415545178,0,19.324895007945024,16.811242881518265,High
The Bravest,2019,245179562,5.8,58.0,summer,0.0,"Drama, Action",0.9677390095247641,1,19.317501410265557,0.0,High
Annabelle Comes Home,2019,231252591,5.9,53.0,summer,27000000.0,Horror,0.9553609242851361,0,19.25902114294264,17.11134746100564,High
Better Days,2019,227140557,7.6,83.0,fall,0.0,"Drama, Crime, Romance",0.25450453226797853,0,19.24107958205943,0.0,High
Ford v Ferrari,2019,225508210,8.1,81.0,fall,97600000.0,"Drama, Action, History",0.4684980239280665,0,19.233867128660943,18.39638806162922,High
Little Women,2019,220102679,7.8,91.0,fall,40000000.0,"Drama, Romance",0.574815437486713,0,19.209604722706068,17.50439003707821,High
The Addams Family,2019,203044905,5.9,46.0,fall,40000000.0,"Family, Animation, Comedy, Fantasy",2.068214994065202,0,19.128937724364995,17.50439003707821,High
Rocketman,2019,195320400,7.3,69.0,spring,40000000.0,"Music, Drama",0.19241883967242912,0,19.09015185019679,17.50439003707821,High
Downton Abbey,2019,194694725,7.4,64.0,fall,20000000.0,"Drama, Romance, History",0.703347899743994,0,19.08694338214812,16.811242881518265,High
Weathering with You,2019,192536812,7.5,72.0,winter,11100000.0,"Animation, Drama, Fantasy, Romance",0.4390756925181963,0,19.075797929772406,16.22245575637265,High
The Lego Movie 2: The Second Part,2019,192306508,6.5,65.0,winter,99000000.0,"Action, Adventure, Animation, Comedy, Family",1.8283347683953246,0,19.0746010581401,18.410630418199872,High
Sheep Without a Shepherd,2019,191602146,6.8,73.0,winter,0.0,"Crime, Mystery, Thriller",1.4926608383460682,0,19.070931629074995,0.0,High
The White Storm 2: Drug Lords,2019,189396380,6.1,58.0,summer,25000000.0,"Drama, Action, Thriller",0.7070525328944429,1,19.059352630825146,17.034386422832473,High
Abominable,2019,188623517,7.0,61.0,fall,75000000.0,"Family, Animation, Adventure, Comedy, Fantasy",0.9583215505833842,0,19.055263618162574,18.132998684833918,High
Ip Man 4: The Finale,2019,176345966,7.0,62.0,winter,52000000.0,"Action, History, Drama",0.5620504932197219,0,18.98795834509081,17.76675429577647,High
Gemini Man,2019,173469516,5.7,38.0,fall,140000000.0,"Science Fiction, Action, Adventure, Thriller, Drama",0.4978471559674021,0,18.9715124473906,18.757152987716434,High
Spies in Disguise,2019,171616764,6.8,54.0,winter,100000000.0,"Animation, Action, Adventure, Comedy, Family",0.5451963957223694,0,18.960774438381183,18.420680753952364,High
Hustlers,2019,157563598,6.3,79.0,fall,20000000.0,"Drama, Comedy, Crime",0.39645131624228,0,18.875339737898003,16.811242881518265,High
The Climbers,2019,156892866,5.5,58.0,fall,0.0,"Adventure, Action, Drama, History",1.8118550496070729,1,18.87107375459207,0.0,High
Escape Room,2019,155712077,6.4,48.0,winter,9000000.0,"Horror, Thriller, Mystery",0.46458857670645515,0,18.86351920604999,16.012735246411598,High
Yesterday,2019,154608856,6.8,55.0,summer,26000000.0,"Comedy, Fantasy, Music, Romance",0.4092441820276176,0,18.856408982256678,17.073607134447293,High
The Angry Birds Movie 2,2019,147792047,6.4,60.0,summer,65000000.0,"Animation, Adventure, Comedy, Family",1.0740798807923502,0,18.811316762595247,17.989897843244528,High
Angel Has Fallen,2019,146661977,6.4,45.0,summer,40000000.0,"Action, Thriller",0.8274201902055536,0,18.80364102751566,17.50439003707821,High
Ad Astra,2019,127461872,6.5,80.0,fall,87500000.0,"Science Fiction, Drama",0.532360596575427,0,18.663327842548668,18.287149362756413,High
Midway,2019,127390389,6.7,47.0,fall,100000000.0,"Action, War, History",0.5965071640337544,0,18.662766866546075,18.420680753952364,High
The Upside,2019,125852517,6.4,52.0,winter,37500000.0,"Comedy, Drama",0.7551429012189868,1,18.65062128729141,17.439851517607305,High
Last Christmas,2019,123446172,6.5,50.0,fall,30000000.0,"Comedy, Drama, Romance",0.6206181661188047,0,18.631315772869918,17.216707972959764,High
The Curse of La Llorona,2019,123233739,5.3,41.0,spring,9000000.0,Horror,0.5693711526134264,0,18.629593435206257,16.012735246411598,High
Looking Up,2019,122994583,6.1,52.0,summer,0.0,"Family, Drama",2.0710822307203105,1,18.627650879846907,0.0,High
Zombieland: Double Tap,2019,122810399,6.6,55.0,fall,42000000.0,"Horror, Comedy",0.798130598629669,0,18.62615226064502,17.553180200057167,High
Dora and the Lost City of Gold,2019,120597108,6.1,63.0,summer,49000000.0,"Family, Comedy, Adventure",0.5394284269951449,0,18.607965870162403,17.707330876483063,High
Extreme Job,2019,119932733,7.1,52.0,winter,8120000.0,"Action, Comedy, Crime",0.9578230238891242,1,18.60244159357943,15.909840835290563,High
Wonder Park,2019,119559110,5.9,45.0,spring,100000000.0,"Comedy, Animation, Adventure, Family, Fantasy",1.6145960079086907,0,18.599321459755178,18.420680753952364,High
P Storm,2019,117991727,5.9,52.0,spring,0.0,"Action, Crime",0.7817064075667233,1,18.586125078277785,0.0,High
Detective Conan: The Fist of Blue Sapphire,2019,115448200,6.4,52.0,unknown,30000000.0,Comedy,0.7696914405427404,1,18.564332511140123,17.216707972959764,High
The Gentlemen,2019,115171795,7.8,51.0,winter,22000000.0,"Comedy, Crime, Action",0.68217864498,0,18.561935449862304,16.906553056777135,High
Pet Sematary,2019,113118226,5.7,57.0,spring,21000000.0,Horror,0.44323506987739225,0,18.54394408636877,16.860033043306743,High
Boonie Bears: Blast Into the Past,2019,112367881,6.4,52.0,unknown,30000000.0,Comedy,0.7696914405427404,1,18.537288707259357,17.216707972959764,High
Good Boys,2019,111173598,6.7,60.0,summer,20000000.0,Comedy,0.3295875325040202,0,18.52660349252764,16.811242881518265,High
Scary Stories to Tell in the Dark,2019,104545505,6.2,61.0,summer,25000000.0,"Horror, Mystery",0.4614437286864843,0,18.46513299869699,17.034386422832473,High
Line Walker 2: Invisible Spy,2019,99482027,6.2,52.0,summer,0.0,"Action, Crime, Thriller, Adventure",0.372515730509583,1,18.415487562698925,0.0,High
The Hustle,2019,97409779,5.5,35.0,spring,21000000.0,"Comedy, Crime",0.4989648190727753,0,18.394437174249568,16.860033043306743,High
The New King of Comedy,2019,95618308,6.2,52.0,winter,8000000.0,Comedy,0.7892607875591221,1,18.375874876421044,15.894952224644102,High
Adoring,2019,94975692,6.4,52.0,winter,0.0,"Drama, Family",1.7722862636013064,1,18.369131553668357,0.0,High
Five Feet Apart,2019,92554209,7.2,53.0,spring,7000000.0,"Romance, Drama",0.6664457017407295,0,18.343305084874096,15.76142084987672,High
Crawl,2019,91542097,6.1,60.0,summer,13500000.0,"Horror, Thriller",0.8046572274273052,0,18.332309511869674,16.41820031748273,High
Rambo: Last Blood,2019,91490353,6.1,26.0,fall,50000000.0,"Action, Thriller, Drama",0.3505424844098451,0,18.331744103923562,17.72753358339242,High
Jojo Rabbit,2019,90335025,7.9,58.0,fall,14000000.0,"Comedy, War, Drama",0.9070782413011326,0,18.319035828007692,16.454567959008102,High
Serial (Bad) Weddings 2,2019,87761988,6.1,52.0,winter,18500000.0,Comedy,0.39000133514552826,1,18.290139037758287,16.733281344102608,High
One Piece: Stampede,2019,81562741,7.5,52.0,fall,0.0,"Animation, Action, Adventure, Fantasy",1.0568503165894116,1,18.216883122526692,0.0,High
A Dog's Way Home,2019,80708134,6.7,50.0,winter,18000000.0,"Drama, Adventure, Family",0.8835557588962811,0,18.206349933611943,16.705882371415992,High
A Dog's Journey,2019,78870908,7.5,43.0,spring,16000000.0,"Family, Adventure, Drama",0.8257193024325791,0,18.183323010602546,16.588099342704055,High
Cold Pursuit,2019,76419755,6.2,57.0,winter,60000000.0,"Crime, Action",0.767477597802883,0,18.151751807096485,17.909855136853043,High
Cats,2019,75558925,2.8,32.0,winter,95000000.0,"Fantasy, Comedy, Drama",0.44627683239553934,0,18.140423386626793,18.36938746009113,High
A Madea Family Funeral,2019,74747725,4.8,39.0,spring,20000000.0,Comedy,0.27049322634592177,0,18.129629348367647,16.811242881518265,High
Charlie's Angels,2019,73279888,5.0,52.0,fall,48000000.0,"Action, Adventure, Comedy",0.7828724022410571,0,18.10979676359101,17.6867115897055,High
Doctor Sleep,2019,72381712,7.3,59.0,fall,45000000.0,"Horror, Fantasy",0.6318144485428996,0,18.09746424257859,17.622173069956816,High
What Men Want,2019,72216294,5.4,49.0,winter,20000000.0,"Comedy, Romance",0.5748783366564029,0,18.095176270919104,16.811242881518265,High
Exit,2019,69501772,7.0,52.0,summer,2900.0,"Science Fiction, Drama",1.1740636704119851,1,18.056862821000994,7.972810784121404,High
After,2019,69497587,5.3,30.0,spring,14000000.0,"Drama, Romance",0.5208786228350715,0,18.056802604896816,16.454567959008102,High
Playing with Fire,2019,69412425,5.2,24.0,fall,29900000.0,"Family, Comedy",0.9863734494734684,0,18.05557645844103,17.21336907180573,High
A Beautiful Day in the Neighborhood,2019,67925733,7.2,80.0,fall,25000000.0,"History, Family, Drama",0.3614052579676544,0,18.03392551925437,17.034386422832473,High
War,2019,67179155,6.6,52.0,fall,24140000.0,"Action, Thriller, Adventure",0.6390419637231862,1,18.022873578806628,16.99938081505868,High
Doraemon: Nobita's Chronicle of the Moon Exploration,2019,65406606,6.9,52.0,spring,0.0,"Animation, Adventure, Comedy, Science Fiction, Fantasy, Family",1.8177109648716276,1,17.99613383578963,0.0,High
Happy Death Day 2U,2019,64600152,6.2,57.0,winter,9000000.0,"Comedy, Horror, Science Fiction",0.6679628735840443,0,17.98372733717108,16.012735246411598,High
White Snake,2019,62098770,7.0,60.0,winter,11936735.0,"Romance, Animation, Fantasy",0.9920537795537795,0,17.944236756047644,16.295131261723036,High
Bombshell,2019,61404394,6.8,64.0,winter,32000000.0,Drama,0.540106803890908,0,17.93299197036022,17.281246492014,High
Ashfall,2019,61354854,6.2,51.0,winter,17700000.0,"Action, Adventure, Thriller",0.7010670423025039,1,17.932184862094417,16.68907525404123,High
Ma,2019,61220784,5.6,53.0,spring,0.0,"Horror, Thriller",0.7,0,17.92999731400632,0.0,High
My Best Summer,2019,60011073,6.4,51.0,summer,0.0,"Romance, Drama",0.5784662099034569,1,17.91003966982271,0.0,High
Ready or Not,2019,57615777,6.9,64.0,summer,6000000.0,"Horror, Comedy",0.5842788653271092,0,17.86930701176701,15.607270193858982,High
Jade Dynasty,2019,57149764,5.9,51.0,fall,0.0,"Drama, Romance, Fantasy",0.332715306406997,1,17.861185836210637,0.0,High
The Perfect Secret,2019,56573047,6.6,51.0,fall,0.0,"Comedy, Drama",0.6203262989673088,1,17.851043246016346,0.0,High
The Big Shot,2019,56040681,6.4,51.0,winter,0.0,"Action, Crime, Thriller",1.011208342297782,1,17.841588449237687,0.0,High
Hellboy,2019,55064690,5.3,31.0,spring,50000000.0,"Fantasy, Horror, Action, Adventure",0.589746356920462,0,17.82401925201545,17.72753358339242,High
Les Misérables,2019,54606372,7.6,78.0,winter,15000000.0,Comedy,0.7815580729307567,0,17.815661155515418,16.52356082573315,High
Long Shot,2019,53873809,6.8,67.0,spring,40000000.0,"Comedy, Romance",0.6471403259953233,0,17.802155017977185,17.50439003707821,High
Just Mercy,2019,50901502,7.6,68.0,winter,25000000.0,"Drama, Crime, History",0.6626710382217241,0,17.745403009572023,17.034386422832473,High
Son of a Rich,2019,50803834,6.6,51.0,fall,2600000.0,Comedy,0.5895819759945472,1,17.743482401825307,14.77102238760702,High
Kingdom,2019,50574061,6.8,62.0,spring,0.0,"Action, Adventure, War, History, Fantasy",1.614944099092518,0,17.73894939413329,0.0,High
Breakthrough,2019,50444358,6.3,46.0,spring,14000000.0,Drama,0.433785530617366,0,17.73638148483537,16.454567959008102,High
Uncut Gems,2019,50023780,7.4,93.0,winter,19000000.0,"Drama, Thriller, Crime",0.2950504098698588,0,17.72800907032108,16.759949589762293,High
21 Bridges,2019,49939757,6.7,51.0,fall,33000000.0,"Crime, Action, Drama",0.4647376846166442,0,17.726327996989184,17.312018149733785,High
Song of Youth,2019,49615508,6.4,51.0,spring,0.0,Drama,1.7359968109651955,1,17.71981402427211,0.0,High
The Grudge,2019,49511319,4.4,41.0,winter,10000000.0,"Horror, Mystery",1.0573813241375698,0,17.71771188826275,16.118095750958314,High
Little,2019,48987096,5.6,49.0,spring,20000000.0,"Comedy, Fantasy, Romance",0.49857733193513626,0,17.70706749486777,16.811242881518265,High
Isn't It Romantic,2019,48791187,5.9,60.0,winter,31000000.0,"Comedy, Fantasy, Romance",0.5641002557185097,0,17.70306028074748,17.249497794707484,High
The Legend of Hei,2019,48507082,7.3,51.0,summer,0.0,"Animation, Fantasy, Action",1.3792778649921507,1,17.697220386481842,0.0,High
Countdown,2019,48021766,5.4,31.0,fall,0.0,Comedy,1.08,0,17.687164945248227,0.0,High
Midsommar,2019,47873567,7.1,72.0,summer,9000000.0,"Horror, Drama, Mystery",0.36060329816681436,0,17.68407409379058,16.012735246411598,High
Queen & Slim,2019,47834125,7.1,74.0,fall,20000000.0,"Crime, Drama, Romance",0.6264515520742442,0,17.68324987578711,16.811242881518265,High
47 Meters Down: Uncaged,2019,47582563,5.0,43.0,summer,12000000.0,"Horror, Thriller",1.1017144058482788,0,17.677976949575484,16.300417291085605,High
Chasing the Dragon II: Wild Wild Bunch,2019,45733356,5.9,51.0,summer,0.0,"Crime, Action, Thriller",0.9930211415246215,1,17.638338502080526,0.0,Low
Judy,2019,45701880,6.8,66.0,fall,0.0,Comedy,0.7815580729307567,0,17.63765001475481,0.0,Low
Child's Play,2019,44907074,5.7,48.0,summer,10000000.0,"Horror, Thriller, Science Fiction",0.39200052332453555,0,17.620105912682334,16.118095750958314,Low
Richard Jewell,2019,44645542,7.5,68.0,winter,45000000.0,"Drama, History",0.7790252063102642,0,17.614265039475683,17.622173069956816,Low
Harriet,2019,43347017,6.8,66.0,fall,17000000.0,"Drama, History",0.42419101068599036,0,17.584748469897423,16.648723960844016,Low
A Shaun the Sheep Movie: Farmageddon,2019,43100248,6.8,79.0,fall,0.0,"Family, Comedy, Adventure, Animation, Science Fiction",0.8063198440686827,0,17.579039332319468,0.0,Low
Fighting with My Family,2019,41503392,7.0,68.0,winter,11000000.0,Comedy,0.3397085342291659,0,17.541285740894985,16.213405921671733,Low
Masquerade Hotel,2019,40396244,6.4,51.0,spring,0.0,"Crime, Mystery",1.7037084008049248,1,17.51424739306712,0.0,Low
The Last Wish,2019,39756292,5.5,51.0,fall,0.0,"Drama, Comedy",1.2790581969843062,1,17.498278700999613,0.0,Low
Uri: The Surgical Strike,2019,39346577,8.2,51.0,winter,0.0,"Action, Drama, War",0.33041714165690694,1,17.487919565894966,0.0,Low
Overcomer,2019,38026103,6.7,17.0,summer,5000000.0,Drama,0.2363238973522212,0,17.45378342921874,15.424948670398354,Low
Pain and Glory,2019,37359689,7.5,87.0,fall,10769016.0,Drama,0.6938687577007661,0,17.43610287364595,16.192183772915026,Low
A Witness Out of the Blue,2019,37092694,6.4,51.0,fall,0.0,"Crime, Thriller, Mystery",0.22588271857355469,1,17.42893060792072,0.0,Low
The Intruder,2019,36599361,5.6,39.0,spring,8000000.0,Thriller,1.265315699300585,0,17.415541366525673,15.894952224644102,Low
The Queen's Corgi,2019,35515687,4.9,51.0,winter,0.0,"Family, Animation, Comedy",0.5359828608633342,1,17.38548507232271,0.0,Low
Warrior of the Hornor,2019,34291831,6.5,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,17.350417749666953,15.86963441986494,Low
The Battle: Roar to Victory,2019,34148707,6.5,55.0,summer,0.0,"History, Action, War",1.1616499145554935,1,17.346235310176073,0.0,Low
The Bad Guys: The Movie,2019,34024386,6.2,55.0,fall,7800000.0,Comedy,0.7823286698178114,1,17.342588090174925,15.86963441986494,Low
The Good Liar,2019,33856058,6.7,55.0,fall,10000000.0,Crime,0.912872150849027,0,17.33762853687345,16.118095750958314,Low
The Art of Racing in the Rain,2019,33766787,7.6,43.0,summer,18000000.0,"Drama, Romance",0.7926018899661026,0,17.334988273831613,16.705882371415992,Low
Brightburn,2019,33224654,6.1,44.0,spring,6000000.0,"Horror, Science Fiction",1.0612033216859276,0,17.318802778762493,15.607270193858982,Low
Bharat,2019,33185983,4.7,55.0,summer,0.0,"Action, History, Drama",0.9848930843463913,1,17.317638176073736,0.0,Low
